"","rep","omega","F score (V1)","F score (V2)","F score","Relevance (V1)","Relevance (V2)","Relevance","Recovery (V1)","Recovery (V2)","Recovery","BiS-E (V1)","BiS-E (V2)","BiS-E","BiS-M (V1)","BiS-M (V2)","BiS-M","BiS-C (V1)","BiS-C (V2)","BiS-C","k"
"1","1","none","0.625822979989146","0.511714476815857","0.568768728402502","0.589647552082759","0.467008894480507","0.528328223281633","0.666727323868157","0.565885242276534","0.616306283072346","0.0815527860263767","0.113343787485221","0.0974482867557989","0.022859278221452","0.0659143361664878","0.0443868071939699","0.111619644282429","0.0460556688339002","0.0788376565581648","7"
"2","1","0","0.625822979989146","0.511714476815857","0.568768728402502","0.589647552082759","0.467008894480507","0.528328223281633","0.666727323868157","0.565885242276534","0.616306283072346","0.0815527860263767","0.119638537570697","0.100595661798537","0.022859278221452","0.0655909060557968","0.0442250921386244","0.111619644282429","0.0572154306316648","0.0844175374570471","7"
"3","1","0.05","0.625822979989146","0.511714476815857","0.568768728402502","0.589647552082759","0.467008894480507","0.528328223281633","0.666727323868157","0.565885242276534","0.616306283072346","0.0815527860263767","0.11684165390633","0.0991972199663534","0.022859278221452","0.060354031372824","0.041606654797138","0.111619644282429","0.0474600371574918","0.0795398407199606","7"
"4","1","0.1","0.65282922880509","0.511714476815857","0.582271852810474","0.639498720673129","0.467008894480507","0.553253807576818","0.666727323868157","0.565885242276534","0.616306283072346","0.0819001103481358","0.11717075487466","0.0995354326113979","0.0253619351935028","0.0597506923136278","0.0425563137535653","0.110168297532489","0.055720910041424","0.0829446037869567","7"
"5","1","0.15","0.65282922880509","0.436502627522408","0.544665928163749","0.639498720673129","0.42159441050737","0.53054656559025","0.666727323868157","0.45250384911013","0.559615586489144","0.0819001103481358","0.12789639341133","0.104898251879733","0.0253619351935028","0.0713725997070167","0.0483672674502597","0.110168297532489","0.0495604487792407","0.0798643731558651","6"
"6","1","0.2","0.581349023726546","0.361843545097506","0.471596284412026","0.646814951936646","0.381423496690477","0.514119224313562","0.527917077828387","0.344175669353379","0.436046373590883","0.0685796394743471","0.105639872371315","0.0871097559228312","0.0255452081517676","0.0655304030199104","0.045537805585839","0.0843506800714448","0.054950139703225","0.0696504098873349","5"
"7","1","0.25","0.439895109929759","0.361843545097506","0.400869327513632","0.656069651741294","0.381423496690477","0.518746574215885","0.330872746081325","0.344175669353379","0.337524207717352","-0.0152331795841912","0.102833445291853","0.0438001328538306","0.00363490584018429","0.0664909952605402","0.0350629505503622","-0.188648648940066","0.0157036319898133","-0.0864725084751266","5"
"8","1","0.3","0.439895109929759","0.361843545097506","0.400869327513632","0.656069651741294","0.381423496690477","0.518746574215885","0.330872746081325","0.344175669353379","0.337524207717352","-0.0204415123100635","0.107366103528709","0.0434622956093225","0.0114278513912455","0.0696330836451398","0.0405304675181926","-0.18834780254874","0.012241133167616","-0.0880533346905621","5"
"9","1","0.35","0.439895109929759","0.361843545097506","0.400869327513632","0.656069651741294","0.381423496690477","0.518746574215885","0.330872746081325","0.344175669353379","0.337524207717352","-0.0376203501826171","0.0879694628911565","0.0251745563542697","0.00903086674864299","0.0679074283126493","0.0384691475306461","-0.177642685584062","0.00462229635201301","-0.0865101946160244","5"
"10","1","0.4","0.439895109929759","0.381724726744868","0.410809918337314","0.656069651741294","0.428470192119135","0.542269921930214","0.330872746081325","0.344175669353379","0.337524207717352","-0.0266414455572051","0.0960950238669452","0.03472678915487","0.0070272277045771","0.074043075071924","0.0405351513882505","-0.157909242375074","0.0207411899564272","-0.0685840262093236","4"
"11","1","0.45","0.309070987742602","0.295238613430721","0.302154800586661","0.90547263681592","0.852941176470588","0.879206906643254","0.186337381806159","0.178515073101686","0.182426227453922","0.0581318299498471","0.276587796401959","0.167359813175903","0.0252621301523663","0.150324454869833","0.0877932925110995","0.0228573093242867","0.288610896835618","0.155734103079952","1"
"12","1","0.5","0.309070987742602","0","0.154535493871301","0.90547263681592","0","0.45273631840796","0.186337381806159","0","0.0931686909030793","0.0581318299498471","0","0.0290659149749236","0.0252621301523663","0","0.0126310650761831","0.0228573093242867","0","0.0114286546621433","1"
"13","1","0.55","0.309070987742602","0","0.154535493871301","0.90547263681592","0","0.45273631840796","0.186337381806159","0","0.0931686909030793","0.0581318299498471","0","0.0290659149749236","0.0252621301523663","0","0.0126310650761831","0.0228573093242867","0","0.0114286546621433","1"
"14","1","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","1","0.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","1","0.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","1","0.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","1","0.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","1","0.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","1","0.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","1","0.95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
